"Aasta","Maakond","Näitaja","value"
"2013","Viljandi maakond","Liiklusõnnetused",46
"2014","Viljandi maakond","Liiklusõnnetused",52
"2015","Viljandi maakond","Liiklusõnnetused",40
"1998","Võru maakond","Liiklusõnnetused",43
"1999","Võru maakond","Liiklusõnnetused",48
"2000","Võru maakond","Liiklusõnnetused",52
"2001","Võru maakond","Liiklusõnnetused",68
"2002","Võru maakond","Liiklusõnnetused",86
"2003","Võru maakond","Liiklusõnnetused",61
"2004","Võru maakond","Liiklusõnnetused",85
"2005","Võru maakond","Liiklusõnnetused",58
"2006","Võru maakond","Liiklusõnnetused",95
"2007","Võru maakond","Liiklusõnnetused",79
"2008","Võru maakond","Liiklusõnnetused",41
"2009","Võru maakond","Liiklusõnnetused",47
"2010","Võru maakond","Liiklusõnnetused",48
"2011","Võru maakond","Liiklusõnnetused",57
"2012","Võru maakond","Liiklusõnnetused",38
"2013","Võru maakond","Liiklusõnnetused",45
"2014","Võru maakond","Liiklusõnnetused",41
"2015","Võru maakond","Liiklusõnnetused",43
"1998","Kogu Eesti","Hukkunuga liiklusõnnetused",259
"1999","Kogu Eesti","Hukkunuga liiklusõnnetused",199
"2000","Kogu Eesti","Hukkunuga liiklusõnnetused",190
"2001","Kogu Eesti","Hukkunuga liiklusõnnetused",168
"2002","Kogu Eesti","Hukkunuga liiklusõnnetused",191
"2003","Kogu Eesti","Hukkunuga liiklusõnnetused",145
"2004","Kogu Eesti","Hukkunuga liiklusõnnetused",154
"2005","Kogu Eesti","Hukkunuga liiklusõnnetused",151
"2006","Kogu Eesti","Hukkunuga liiklusõnnetused",183
"2007","Kogu Eesti","Hukkunuga liiklusõnnetused",174
"2008","Kogu Eesti","Hukkunuga liiklusõnnetused",114
"2009","Kogu Eesti","Hukkunuga liiklusõnnetused",85
"2010","Kogu Eesti","Hukkunuga liiklusõnnetused",70
"2011","Kogu Eesti","Hukkunuga liiklusõnnetused",93
"2012","Kogu Eesti","Hukkunuga liiklusõnnetused",82
"2013","Kogu Eesti","Hukkunuga liiklusõnnetused",74
"2014","Kogu Eesti","Hukkunuga liiklusõnnetused",72
"2015","Kogu Eesti","Hukkunuga liiklusõnnetused",61
"1998","Harju maakond","Hukkunuga liiklusõnnetused",76
"1999","Harju maakond","Hukkunuga liiklusõnnetused",56
"2000","Harju maakond","Hukkunuga liiklusõnnetused",43
"2001","Harju maakond","Hukkunuga liiklusõnnetused",52
"2002","Harju maakond","Hukkunuga liiklusõnnetused",51
"2003","Harju maakond","Hukkunuga liiklusõnnetused",43
"2004","Harju maakond","Hukkunuga liiklusõnnetused",51
"2005","Harju maakond","Hukkunuga liiklusõnnetused",45
"2006","Harju maakond","Hukkunuga liiklusõnnetused",52
"2007","Harju maakond","Hukkunuga liiklusõnnetused",60
"2008","Harju maakond","Hukkunuga liiklusõnnetused",32
"2009","Harju maakond","Hukkunuga liiklusõnnetused",24
"2010","Harju maakond","Hukkunuga liiklusõnnetused",18
"2011","Harju maakond","Hukkunuga liiklusõnnetused",28
"2012","Harju maakond","Hukkunuga liiklusõnnetused",26
"2013","Harju maakond","Hukkunuga liiklusõnnetused",25
"2014","Harju maakond","Hukkunuga liiklusõnnetused",18
"2015","Harju maakond","Hukkunuga liiklusõnnetused",23
"1998","..Tallinn","Hukkunuga liiklusõnnetused",34
"1999","..Tallinn","Hukkunuga liiklusõnnetused",22
"2000","..Tallinn","Hukkunuga liiklusõnnetused",24
"2001","..Tallinn","Hukkunuga liiklusõnnetused",21
"2002","..Tallinn","Hukkunuga liiklusõnnetused",24
"2003","..Tallinn","Hukkunuga liiklusõnnetused",13
"2004","..Tallinn","Hukkunuga liiklusõnnetused",20
"2005","..Tallinn","Hukkunuga liiklusõnnetused",16
"2006","..Tallinn","Hukkunuga liiklusõnnetused",20
"2007","..Tallinn","Hukkunuga liiklusõnnetused",22
"2008","..Tallinn","Hukkunuga liiklusõnnetused",17
"2009","..Tallinn","Hukkunuga liiklusõnnetused",11
"2010","..Tallinn","Hukkunuga liiklusõnnetused",6
"2011","..Tallinn","Hukkunuga liiklusõnnetused",12
"2012","..Tallinn","Hukkunuga liiklusõnnetused",13
"2013","..Tallinn","Hukkunuga liiklusõnnetused",12
"2014","..Tallinn","Hukkunuga liiklusõnnetused",7
"2015","..Tallinn","Hukkunuga liiklusõnnetused",12
"1998","Hiiu maakond","Hukkunuga liiklusõnnetused",3
"1999","Hiiu maakond","Hukkunuga liiklusõnnetused",3
"2000","Hiiu maakond","Hukkunuga liiklusõnnetused",5
"2001","Hiiu maakond","Hukkunuga liiklusõnnetused",1
"2002","Hiiu maakond","Hukkunuga liiklusõnnetused",1
"2003","Hiiu maakond","Hukkunuga liiklusõnnetused",0
"2004","Hiiu maakond","Hukkunuga liiklusõnnetused",0
"2005","Hiiu maakond","Hukkunuga liiklusõnnetused",0
"2006","Hiiu maakond","Hukkunuga liiklusõnnetused",1
"2007","Hiiu maakond","Hukkunuga liiklusõnnetused",1
"2008","Hiiu maakond","Hukkunuga liiklusõnnetused",1
"2009","Hiiu maakond","Hukkunuga liiklusõnnetused",1
"2010","Hiiu maakond","Hukkunuga liiklusõnnetused",1
"2011","Hiiu maakond","Hukkunuga liiklusõnnetused",2
"2012","Hiiu maakond","Hukkunuga liiklusõnnetused",0
"2013","Hiiu maakond","Hukkunuga liiklusõnnetused",0
"2014","Hiiu maakond","Hukkunuga liiklusõnnetused",1
"2015","Hiiu maakond","Hukkunuga liiklusõnnetused",0
"1998","Ida-Viru maakond","Hukkunuga liiklusõnnetused",26
"1999","Ida-Viru maakond","Hukkunuga liiklusõnnetused",26
"2000","Ida-Viru maakond","Hukkunuga liiklusõnnetused",23
"2001","Ida-Viru maakond","Hukkunuga liiklusõnnetused",18
"2002","Ida-Viru maakond","Hukkunuga liiklusõnnetused",22
"2003","Ida-Viru maakond","Hukkunuga liiklusõnnetused",16
"2004","Ida-Viru maakond","Hukkunuga liiklusõnnetused",25
"2005","Ida-Viru maakond","Hukkunuga liiklusõnnetused",19
"2006","Ida-Viru maakond","Hukkunuga liiklusõnnetused",28
"2007","Ida-Viru maakond","Hukkunuga liiklusõnnetused",17
"2008","Ida-Viru maakond","Hukkunuga liiklusõnnetused",12
"2009","Ida-Viru maakond","Hukkunuga liiklusõnnetused",10
"2010","Ida-Viru maakond","Hukkunuga liiklusõnnetused",9
"2011","Ida-Viru maakond","Hukkunuga liiklusõnnetused",13
"2012","Ida-Viru maakond","Hukkunuga liiklusõnnetused",10
"2013","Ida-Viru maakond","Hukkunuga liiklusõnnetused",8
"2014","Ida-Viru maakond","Hukkunuga liiklusõnnetused",7
"2015","Ida-Viru maakond","Hukkunuga liiklusõnnetused",6
"1998","..Kohtla-Järve linn","Hukkunuga liiklusõnnetused",3
"1999","..Kohtla-Järve linn","Hukkunuga liiklusõnnetused",0
"2000","..Kohtla-Järve linn","Hukkunuga liiklusõnnetused",0
"2001","..Kohtla-Järve linn","Hukkunuga liiklusõnnetused",0
"2002","..Kohtla-Järve linn","Hukkunuga liiklusõnnetused",2
"2003","..Kohtla-Järve linn","Hukkunuga liiklusõnnetused",1
"2004","..Kohtla-Järve linn","Hukkunuga liiklusõnnetused",2
