"Vanuserühm","Maakond","Aasta","Sugu","value"
"Vanuserühmad kokku","..Tartu linn","2012","Mehed ja naised",99558
"Vanuserühmad kokku","Valga maakond","2012","Mehed ja naised",31068
"Vanuserühmad kokku","Viljandi maakond","2012","Mehed ja naised",48604
"Vanuserühmad kokku","Võru maakond","2012","Mehed ja naised",34178
"Vanuserühmad kokku","Maakond teadmata","2012","Mehed ja naised",NA
"Vanuserühmad kokku","Kogu Eesti","2013","Mehed ja naised",1320174
"Vanuserühmad kokku","Harju maakond","2013","Mehed ja naised",567967
"Vanuserühmad kokku","..Tallinn","2013","Mehed ja naised",406059
"Vanuserühmad kokku","Hiiu maakond","2013","Mehed ja naised",8638
"Vanuserühmad kokku","Ida-Viru maakond","2013","Mehed ja naised",151909
"Vanuserühmad kokku","Jõgeva maakond","2013","Mehed ja naised",31587
"Vanuserühmad kokku","Järva maakond*","2013","Mehed ja naised",30913
"Vanuserühmad kokku","Lääne maakond","2013","Mehed ja naised",24622
"Vanuserühmad kokku","Lääne-Viru maakond*","2013","Mehed ja naised",60518
"Vanuserühmad kokku","Põlva maakond","2013","Mehed ja naised",27816
"Vanuserühmad kokku","Pärnu maakond","2013","Mehed ja naised",83677
"Vanuserühmad kokku","Rapla maakond","2013","Mehed ja naised",35069
"Vanuserühmad kokku","Saare maakond","2013","Mehed ja naised",31815
"Vanuserühmad kokku","Tartu maakond","2013","Mehed ja naised",153100
"Vanuserühmad kokku","..Tartu linn","2013","Mehed ja naised",99518
"Vanuserühmad kokku","Valga maakond","2013","Mehed ja naised",30590
"Vanuserühmad kokku","Viljandi maakond","2013","Mehed ja naised",48127
"Vanuserühmad kokku","Võru maakond","2013","Mehed ja naised",33826
"Vanuserühmad kokku","Maakond teadmata","2013","Mehed ja naised",NA
"Vanuserühmad kokku","Kogu Eesti","2014","Mehed ja naised",1315819
"Vanuserühmad kokku","Harju maakond","2014","Mehed ja naised",572103
"Vanuserühmad kokku","..Tallinn","2014","Mehed ja naised",411063
"Vanuserühmad kokku","Hiiu maakond","2014","Mehed ja naised",8589
"Vanuserühmad kokku","Ida-Viru maakond","2014","Mehed ja naised",149483
"Vanuserühmad kokku","Jõgeva maakond","2014","Mehed ja naised",31145
"Vanuserühmad kokku","Järva maakond*","2014","Mehed ja naised",30425
"Vanuserühmad kokku","Lääne maakond","2014","Mehed ja naised",24323
"Vanuserühmad kokku","Lääne-Viru maakond*","2014","Mehed ja naised",59583
"Vanuserühmad kokku","Põlva maakond","2014","Mehed ja naised",27641
"Vanuserühmad kokku","Pärnu maakond","2014","Mehed ja naised",82829
"Vanuserühmad kokku","Rapla maakond","2014","Mehed ja naised",34676
"Vanuserühmad kokku","Saare maakond","2014","Mehed ja naised",31756
"Vanuserühmad kokku","Tartu maakond","2014","Mehed ja naised",152188
"Vanuserühmad kokku","..Tartu linn","2014","Mehed ja naised",98449
"Vanuserühmad kokku","Valga maakond","2014","Mehed ja naised",30176
"Vanuserühmad kokku","Viljandi maakond","2014","Mehed ja naised",47476
"Vanuserühmad kokku","Võru maakond","2014","Mehed ja naised",33426
"Vanuserühmad kokku","Maakond teadmata","2014","Mehed ja naised",NA
"Vanuserühmad kokku","Kogu Eesti","2015","Mehed ja naised",1313271
"Vanuserühmad kokku","Harju maakond","2015","Mehed ja naised",575601
"Vanuserühmad kokku","..Tallinn","2015","Mehed ja naised",413782
"Vanuserühmad kokku","Hiiu maakond","2015","Mehed ja naised",8582
"Vanuserühmad kokku","Ida-Viru maakond","2015","Mehed ja naised",147597
"Vanuserühmad kokku","Jõgeva maakond","2015","Mehed ja naised",30841
"Vanuserühmad kokku","Järva maakond*","2015","Mehed ja naised",30109
"Vanuserühmad kokku","Lääne maakond","2015","Mehed ja naised",24070
"Vanuserühmad kokku","Lääne-Viru maakond*","2015","Mehed ja naised",59039
"Vanuserühmad kokku","Põlva maakond","2015","Mehed ja naised",27438
"Vanuserühmad kokku","Pärnu maakond","2015","Mehed ja naised",82349
"Vanuserühmad kokku","Rapla maakond","2015","Mehed ja naised",34436
"Vanuserühmad kokku","Saare maakond","2015","Mehed ja naised",31706
"Vanuserühmad kokku","Tartu maakond","2015","Mehed ja naised",151377
"Vanuserühmad kokku","..Tartu linn","2015","Mehed ja naised",97332
"Vanuserühmad kokku","Valga maakond","2015","Mehed ja naised",29944
"Vanuserühmad kokku","Viljandi maakond","2015","Mehed ja naised",47010
"Vanuserühmad kokku","Võru maakond","2015","Mehed ja naised",33172
"Vanuserühmad kokku","Maakond teadmata","2015","Mehed ja naised",NA
