"Tegevusala..EMTAK.2008.","Maakond","Aasta","value"
"Tegevusalad kokku","Valga maakond","2013",1873
"Tegevusalad kokku","Viljandi maakond","2013",3524
"Tegevusalad kokku","Võru maakond","2013",2596
"Tegevusalad kokku","Kogu Eesti","2014",113765
"Tegevusalad kokku","Harju maakond","2014",61067
"Tegevusalad kokku","..Tallinn","2014",48042
"Tegevusalad kokku","Hiiu maakond","2014",888
"Tegevusalad kokku","Ida-Viru maakond","2014",6233
"Tegevusalad kokku","Jõgeva maakond","2014",2218
"Tegevusalad kokku","Järva maakond","2014",2046
"Tegevusalad kokku","Lääne maakond","2014",1943
"Tegevusalad kokku","Lääne-Viru maakond","2014",4129
"Tegevusalad kokku","Põlva maakond","2014",2038
"Tegevusalad kokku","Pärnu maakond","2014",6959
"Tegevusalad kokku","Rapla maakond","2014",2769
"Tegevusalad kokku","Saare maakond","2014",2992
"Tegevusalad kokku","Tartu maakond","2014",12431
"Tegevusalad kokku","Valga maakond","2014",1879
"Tegevusalad kokku","Viljandi maakond","2014",3514
"Tegevusalad kokku","Võru maakond","2014",2659
"Tegevusalad kokku","Kogu Eesti","2015",117398
"Tegevusalad kokku","Harju maakond","2015",63328
"Tegevusalad kokku","..Tallinn","2015",49659
"Tegevusalad kokku","Hiiu maakond","2015",892
"Tegevusalad kokku","Ida-Viru maakond","2015",6320
"Tegevusalad kokku","Jõgeva maakond","2015",2286
"Tegevusalad kokku","Järva maakond","2015",2071
"Tegevusalad kokku","Lääne maakond","2015",2002
"Tegevusalad kokku","Lääne-Viru maakond","2015",4241
"Tegevusalad kokku","Põlva maakond","2015",2114
"Tegevusalad kokku","Pärnu maakond","2015",7147
"Tegevusalad kokku","Rapla maakond","2015",2886
"Tegevusalad kokku","Saare maakond","2015",3125
"Tegevusalad kokku","Tartu maakond","2015",12806
"Tegevusalad kokku","Valga maakond","2015",1920
"Tegevusalad kokku","Viljandi maakond","2015",3592
"Tegevusalad kokku","Võru maakond","2015",2668
