"sugu","vanus","vanus3","lapsed","emaharidus","isaharidus","kaaslane","staatus3","tervis","haridus","haridustase","sissetulek","meeldib_oppida","literacy","numeracy","psolvskills"
"Naine",43,"25-49","Jah","Kesk",NA,"Ei","Hõivatud","Rahuldav","Kesk","Keskmine",1276.03,"Suurel määral",296.292,291.873,264.476
"Naine",24,"16-24","Ei","Kesk","Kesk","Jah","Hõivatud","Hea","Kesk","Keskmine",342.457,"Väga suurel määral",338.688,287.173,NA
"Naine",51,"50+","Jah","Kesk","Kesk","Ei","Töötu","Rahuldav","Kesk","Keskmine",NA,"Suurel määral",260.264,222.159,240.857
"Naine",46,"25-49","Jah","Põhi","Põhi","Ei","Hõivatud","Hea","Kesk-järgne kutse","Keskmine",815.495,"Suurel määral",304.569,287.185,NA
"Naine",23,"16-24","Ei","Kesk","Kõrg","Jah","Hõivatud","Väga hea","Akadeemiline kõrg","Kõrge",850,"Väga suurel määral",316.264,304.767,NA
"Mees",54,"50+","Jah","Kesk","Kesk","Jah","Hõivatud","Hea","Akadeemiline kõrg","Kõrge",1407.62,"Suurel määral",322.389,349.305,314.779
"Mees",44,"25-49","Jah","Kõrg","Kõrg",NA,"Hõivatud","Rahuldav","Kesk","Keskmine",NA,"Mõningal määral",294.093,309.831,320.764
"Mees",46,"25-49","Jah","Põhi","Kõrg","Jah","Hõivatud","Rahuldav","Põhi","Madal",1248,"Suurel määral",242.478,231.322,NA
"Mees",36,"25-49","Jah",NA,"Kesk","Ei","Hõivatud","Hea","Kesk","Keskmine",NA,"Suurel määral",331.068,343.971,344.936
"Mees",20,"16-24","Ei","Kesk","Kõrg","Jah","Hõivatud","Väga hea","Põhi","Madal",960,"Mõningal määral",260.158,265.603,294.684
"Naine",21,"16-24","Ei","Kõrg","Kõrg","Jah","Hõivatud","Väga hea","Kesk","Keskmine",719.44,"Suurel määral",333.115,335.965,334.001
"Mees",22,"16-24","Ei","Põhi","Põhi",NA,"Töötu","Hea","Põhi","Madal",NA,"Mõningal määral",218.981,209.165,NA
"Naine",59,"50+","Jah","Põhi","Põhi",NA,"Mitteaktiivne","Rahuldav","Rakenduskõrg","Kõrge",NA,"Suurel määral",301.356,265.984,NA
"Mees",43,"25-49",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Naine",62,"50+","Jah","Kesk","Põhi","Ei","Hõivatud","Rahuldav","Akadeemiline kõrg","Kõrge",749.704,"Mõningal määral",281.885,292.047,NA
"Naine",49,"25-49","Jah","Põhi","Põhi","Jah","Hõivatud","Hea","Rakenduskõrg","Kõrge",289.166,"Mõningal määral",234.929,216.866,NA
"Naine",33,"25-49","Jah",NA,NA,"Jah","Mitteaktiivne","Hea","Põhi","Madal",NA,"Suurel määral",215.277,204.785,NA
"Mees",37,"25-49","Ei","Kõrg","Kõrg","Jah","Hõivatud","Hea","Rakenduskõrg","Kõrge",NA,"Suurel määral",290.057,304.083,290.341
"Mees",23,"16-24","Ei","Kõrg","Kesk",NA,"Hõivatud","Väga hea","Akadeemiline kõrg","Kõrge",223.374,"Väga suurel määral",321.035,351.504,318.472
"Naine",57,"50+","Jah","Põhi","Kesk","Jah","Hõivatud","Hea","Kesk","Keskmine",815.495,"Väga suurel määral",245.828,268.189,224.162
"Mees",46,"25-49","Jah","Põhi","Põhi","Jah","Hõivatud","Suurepärane","Kesk","Keskmine",1078.66,"Suurel määral",213.453,247.6,195.849
"Naine",22,"16-24","Jah","Kesk","Kesk","Jah","Hõivatud","Rahuldav","Põhi","Madal",NA,"Suurel määral",294.446,307.328,302.225
"Mees",35,"25-49","Jah","Kõrg","Kesk","Jah","Hõivatud","Hea","Kesk","Keskmine",2258.95,"Suurel määral",360.26,376.356,332.719
"Naine",56,"50+","Jah","Kesk","Põhi",NA,"Hõivatud","Rahuldav","Põhi","Madal",433.906,"Mõningal määral",237.96,218.155,NA
"Naine",62,"50+","Jah","Põhi","Põhi",NA,"Mitteaktiivne","Halb","Kesk","Keskmine",NA,"Mõningal määral",272.192,230.06,NA
"Mees",44,"25-49","Jah","Kesk","Kõrg","Jah","Hõivatud","Hea","Rakenduskõrg","Kõrge",1144.45,"Suurel määral",269.019,307.687,265.796
"Naine",47,"25-49","Jah","Põhi","Põhi","Jah","Mitteaktiivne","Rahuldav","Kesk","Keskmine",NA,"Mõningal määral",283.317,249.712,NA
"Naine",63,"50+","Jah","Põhi","Põhi",NA,"Hõivatud","Rahuldav","Kesk","Keskmine",157.583,"Suurel määral",284.502,309.259,NA
"Naine",45,"25-49","Jah","Põhi","Põhi","Jah","Hõivatud","Rahuldav","Kesk","Keskmine",307.587,"Suurel määral",206.268,196.356,191.303
"Mees",24,"16-24","Jah","Kesk","Põhi",NA,"Hõivatud","Hea","Kesk","Keskmine",1012.87,"Suurel määral",282.181,288.653,263.042
"Mees",39,"25-49","Jah","Põhi","Kesk","Jah","Hõivatud","Hea","Põhi","Madal",NA,"Suurel määral",277.139,292.978,269.96
"Naine",37,"25-49","Jah","Kesk","Põhi","Jah","Hõivatud","Hea","Akadeemiline kõrg","Kõrge",578.647,"Suurel määral",250.883,230.175,284.442
"Naine",36,"25-49","Jah","Põhi","Kesk","Jah","Hõivatud","Rahuldav","Põhi","Madal",618.121,"Väga suurel määral",223.817,233.791,252.691
"Mees",61,"50+","Jah","Põhi","Põhi","Jah","Hõivatud","Hea","Akadeemiline kõrg","Kõrge",NA,"Väga suurel määral",304.312,327.451,312.018
"Naine",41,"25-49","Jah","Kesk",NA,"Jah","Hõivatud","Väga hea","Akadeemiline kõrg","Kõrge",NA,"Suurel määral",332.313,292.644,NA
"Naine",48,"25-49","Jah","Kesk","Kõrg","Ei","Hõivatud","Rahuldav","Kesk","Keskmine",618.121,"Väga vähe",241.651,273.533,239.665
"Mees",17,"16-24","Ei","Kesk","Kesk","Ei","Mitteaktiivne","Väga hea","Põhi","Madal",NA,"Väga suurel määral",318.501,278.378,318.724
"Naine",42,"25-49","Jah","Põhi","Põhi","Ei","Hõivatud","Väga hea","Kesk","Keskmine",NA,"Mõningal määral",291.37,263.856,235.438
"Mees",23,"16-24","Jah","Kõrg",NA,"Jah","Hõivatud","Väga hea","Rakenduskõrg","Kõrge",486.539,"Mõningal määral",274.667,272.844,309.191
"Naine",56,"50+","Jah","Põhi","Põhi",NA,"Hõivatud","Hea","Kesk","Keskmine",575,"Mõningal määral",236.407,257.01,230.477
"Naine",63,"50+","Jah","Põhi","Kesk",NA,"Mitteaktiivne","Rahuldav","Kesk","Keskmine",NA,"Üldse mitte",234.299,236.475,NA
"Mees",16,"16-24","Ei","Põhi","Põhi","Ei","Mitteaktiivne","Hea","Põhi","Madal",NA,"Suurel määral",302.584,266.581,300.48
"Mees",51,"50+","Jah","Põhi","Põhi","Jah","Hõivatud","Halb","Akadeemiline kõrg","Kõrge",NA,"Suurel määral",304.252,285.731,225.437
"Naine",63,"50+","Jah","Põhi","Põhi","Jah","Hõivatud","Rahuldav","Kesk","Keskmine",346.667,"Väga suurel määral",261.241,272.096,215.622
"Naine",51,"50+","Jah","Põhi","Põhi","Ei","Hõivatud","Rahuldav","Akadeemiline kõrg","Kõrge",776.02,"Suurel määral",324.414,313.121,291.167
"Naine",34,"25-49","Jah","Kesk","Kõrg","Jah","Töötu","Hea","Akadeemiline kõrg","Kõrge",NA,"Suurel määral",307.144,305.415,283.678
"Naine",19,"16-24","Ei","Kõrg","Kesk","Ei","Hõivatud","Suurepärane","Kesk","Keskmine",130,"Väga suurel määral",293.82,331.113,296.21
"Naine",23,"16-24","Ei","Kesk","Kõrg","Jah","Hõivatud","Väga hea","Akadeemiline kõrg","Kõrge",956,"Suurel määral",318.732,321.912,311
"Mees",36,"25-49","Jah","Kesk","Kesk","Jah","Hõivatud","Rahuldav","Akadeemiline kõrg","Kõrge",1078.66,"Mõningal määral",313.95,330.052,303.009
